iter	Logloss
0	0.6807096356
1	0.6695276083
2	0.660254374
3	0.6513317592
4	0.6435874374
5	0.6365863344
6	0.6305288917
7	0.6248927689
8	0.619933925
9	0.6154109438
10	0.6112208015
11	0.6075143283
12	0.604265498
13	0.6012185971
14	0.5986640678
15	0.5960748909
16	0.593916641
17	0.5918408219
18	0.5901008508
19	0.5884444443
20	0.5870318929
21	0.5856272804
22	0.5844426946
23	0.5832152367
24	0.5820629121
25	0.5810612986
26	0.5800422407
27	0.579301647
28	0.5784283761
29	0.5775541739
30	0.5768014642
31	0.5760497949
32	0.575471289
33	0.5748603299
34	0.5743658115
35	0.5739248591
36	0.5734899989
37	0.5729921752
38	0.572592134
39	0.5722951689
40	0.5718839765
41	0.5715285719
42	0.5711252422
43	0.5707696566
44	0.570424231
45	0.5700412775
46	0.5697739569
47	0.5695010103
48	0.5692232115
49	0.5689477253
50	0.5687091411
51	0.5685117092
52	0.5682787749
53	0.5679139854
54	0.5676752077
55	0.5674431498
56	0.5672282292
57	0.5670004395
58	0.5667768309
59	0.5665944621
60	0.5664120397
61	0.5662725853
62	0.5661260301
63	0.5659457549
64	0.565639667
65	0.5654147061
66	0.5652471312
67	0.5650713365
68	0.5648794118
69	0.5646890694
70	0.5645129109
71	0.5643455908
72	0.5642211704
73	0.5640682659
74	0.5638991401
75	0.5637665301
76	0.5636206987
77	0.5635070353
78	0.5633368031
79	0.5631814512
80	0.5630613675
81	0.5629174789
82	0.5627178091
83	0.5625029305
84	0.5623281773
85	0.562238387
86	0.5620739973
87	0.5619074659
88	0.5617614289
89	0.5616669351
90	0.5614968163
91	0.561297297
92	0.5611194864
93	0.5609858332
94	0.5608148707
95	0.5606069455
96	0.560437607
97	0.5603511768
98	0.5601085889
99	0.5599827903
100	0.5598603243
101	0.5596989549
102	0.5595898074
103	0.5594519252
104	0.5592800294
105	0.5591870482
106	0.559051127
107	0.5588462267
108	0.5586681825
109	0.5583707957
110	0.5581959404
111	0.5580657904
112	0.558008996
113	0.5578630413
114	0.5577830331
115	0.5576036645
116	0.5574466997
117	0.557301778
118	0.5571653841
119	0.5570393798
120	0.5568194188
121	0.5566720423
122	0.5564320455
123	0.5562969202
124	0.5561521929
125	0.5559930194
126	0.5558760822
127	0.5557810163
128	0.5556602201
129	0.5555217775
130	0.5554515595
131	0.5553077784
132	0.5549985414
133	0.5548771529
134	0.5547590065
135	0.5546694261
136	0.5544739
137	0.5542986014
138	0.5541169867
139	0.5538830739
140	0.5537694004
141	0.5535816787
142	0.5534747013
143	0.5533814077
144	0.553213485
145	0.5530636745
146	0.5529479607
147	0.5528159963
148	0.5526448696
149	0.5525033321
150	0.5523867246
151	0.5522057834
152	0.5520559754
153	0.5518296998
154	0.5516599356
155	0.5515577369
156	0.5514740132
157	0.5513662565
158	0.5513381783
159	0.5512328469
160	0.5511239655
161	0.5509565597
162	0.5508582122
163	0.5507850018
164	0.5505616824
165	0.5504499025
166	0.55026434
167	0.5500901328
168	0.5499591442
169	0.5498665764
170	0.5496302105
171	0.5494845912
172	0.5493241768
173	0.5491696731
174	0.5489578286
175	0.5488796516
176	0.5487368611
177	0.5485487078
178	0.5484164414
179	0.5483465323
180	0.5482532951
181	0.5481470906
182	0.5481063117
183	0.5480666548
184	0.5479516486
185	0.5478680287
186	0.5477079686
187	0.5475172701
188	0.5472655646
189	0.5471077417
190	0.5470471768
191	0.5469070493
192	0.5467055178
193	0.5464825225
194	0.5464061365
195	0.5461945073
196	0.5460245245
197	0.5458570971
198	0.5457615885
199	0.5455997507
200	0.5455340677
201	0.5454128845
202	0.5452524348
203	0.5451070027
204	0.5449337035
205	0.5447649782
206	0.5445353457
207	0.5444186763
208	0.5442070617
209	0.5440890616
210	0.5439435252
211	0.5437940478
212	0.543598728
213	0.5434151772
214	0.543363436
215	0.5432284703
216	0.5430566122
217	0.5429267392
218	0.5428125536
219	0.5426579765
220	0.5425023355
221	0.5423772537
222	0.5422644878
223	0.5420749558
224	0.5420040523
225	0.5418369526
226	0.5416296718
227	0.541482094
228	0.5412924333
229	0.5412017153
230	0.5409819101
231	0.5408144385
232	0.5406033625
233	0.5404587771
234	0.5403503921
235	0.540147336
236	0.5400473516
237	0.5398213447
238	0.5396319947
239	0.5394918418
240	0.5393962336
241	0.5392446144
242	0.539124573
243	0.5389932145
244	0.538788064
245	0.5386391214
246	0.5384748913
247	0.5382952564
248	0.538108149
249	0.5378931315
250	0.5377203944
251	0.5375397047
252	0.5374041754
253	0.5373077368
254	0.5370583678
255	0.5368972932
256	0.5366820498
257	0.5365177422
258	0.5363757352
259	0.5361956057
260	0.5358951088
261	0.5357112952
262	0.5355589101
263	0.5354119652
264	0.535280456
265	0.535027663
266	0.5348992649
267	0.5346666902
268	0.5344282991
269	0.5342660444
270	0.5340322822
271	0.5338172189
272	0.5336633486
273	0.5335237631
274	0.5333850765
275	0.5332301939
276	0.5330325329
277	0.5329531548
278	0.5327912448
279	0.5326739027
280	0.532584797
281	0.5323954844
282	0.5321950303
283	0.532073541
284	0.5318642167
285	0.531678857
286	0.5315209051
287	0.5312659619
288	0.5310863337
289	0.5309912229
290	0.5307490037
291	0.5306075382
292	0.530406045
293	0.530292724
294	0.5300598887
295	0.5299843259
296	0.5298923745
297	0.5297442728
298	0.5296859229
299	0.5295524513
